MicroServie,Description,Category,Default DockImage,Popularity (Pull),Base of DockerImage,Type of Docker Content OS,LGPL 2.1.,Priority,Upstream Project,Clear Bundle,Clear Package,Use Case,Owner,Default Docker Size,Clear Docker Size,Bundle Size,Potential Clear Advantage,AUFS Relation,Created At,Filter Type,Logo Url,Operating Systems,Star Count,type,Updated_At, Tag,Is In MicroService.xlsx
xwiki,XWiki: The Advanced Open Source Enterprise Wiki.,,https://hub.docker.com/_/xwiki,10M+,tomcat:8-jre8,tomcat,LGPL 2.1.,,,,,,,1.2GB,,,,,2017-04-17T14:42:06.110011Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/xwiki.png,linux,104,image,2019-04-01T08:06:10.198627Z,10,FALSE
teamspeak,TeamSpeak is software for quality voice communication via the Internet.,,https://hub.docker.com/_/teamspeak,10M+,alpine:3.7,alpine,GNU Public License,,,,,,,21.7MB,,,,,2018-09-21T18:02:58.371316Z,official,,linux,98,image,2019-04-01T08:06:09.868926Z,3.7,FALSE
flink,Apache Flink? is a powerful open-source distributed stream and batch processing framework.,,https://hub.docker.com/_/flink,10M+,openjdk:8-jre,openjdk,Apache License 2.0,,,,,,,731MB,,,,,2018-09-21T18:01:43.764072Z,official,,linux,91,image,2019-04-01T08:06:01.671224Z,1.6.4-hadoop24-scala_2.11,FALSE
jruby,JRuby (http://www.jruby.org) is an implementation of Ruby (http://www.ruby-lang.org) on the JVM.,Programming Languages,https://hub.docker.com/_/jruby,10M+,openjdk:8-jre,openjdk,tri EPL/GPL/LGPL license,,,,,,,504MB,,,,,2016-06-02T20:21:14.295864Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/e724338f-518a-4a07-bf45-56deff98c2ab-jruby.png,linux,82,image,2019-04-01T08:05:56.465372Z,latest,FALSE
nats-streaming,"NATS Streaming is an open-source, high-performance, cloud native messaging streaming system.",,https://hub.docker.com/_/nats-streaming,10M+,scratch,scratch,Apache License 2.0,,,,,,,12.9MB,,,,,2018-09-21T18:01:34.210275Z,official,,linux,66,image,2019-04-01T08:05:59.087263Z,0.12.2-linux,FALSE
groovy,Apache Groovy is a multi-faceted language for the Java platform.,Programming Languages,https://hub.docker.com/_/groovy,10M+,openjdk:8-jdk,openjdk,Apache License 2.0,,,,jdk-groovy,,,477MB,,,,,2017-04-16T17:55:45.535513Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/groovy.png,linux,65,image,2019-04-01T08:05:57.575785Z,2.5.6-jdk8,FALSE
tomee,Apache TomEE is an all-Apache Java EE certified stack where Apache Tomcat is top dog.,Application Frameworks,https://hub.docker.com/_/tomee,10M+,openjdk:8-jre,openjdk,ÿApache License 2.0,,,,,,,491MB,,,,,2016-06-01T01:57:31.639702Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/7c177fe9-61ba-43a7-8b48-3367a7d43d72-tomee.png,linux,64,image,2019-04-01T08:06:11.527597Z,8-jre-1.7.5-jaxrs` (*8-jre-1.7.5-jaxrs/Dockerfile*)](https://github.com/tomitribe/docker-tomee/blob/345cfefbfe4ef0956f0ea2caf1af2595111f5a85/8-jre-1.7.5-jaxrs/Dockerfile),FALSE
haxe,"Haxe is a modern, high level, static typed programming language with multiple compilation targets.",Programming Languages,https://hub.docker.com/_/haxe,10M+,buildpack-deps:stretch-scm,buildpack-deps,"The Haxe Compiler (GPLv2+)
The Haxe Standard Library (MIT)
Neko (MIT and others)",,,,,,,308MB,,,,,2017-04-16T18:21:21.254971Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/haxe.png,windows,19,image,2019-04-01T08:06:10.95813Z,3.4.7-stretch,FALSE
rails,Rails is an open-source web application framework written in Ruby.,,https://hub.docker.com/_/rails,5M+,ruby:2.3,ruby,MIT License,,,,"rubygem-rails
,
rubygem-rails-deprecated_sanitizer
,
rubygem-sass-rails
,
rubygem-jquery-rails
,
rubygem-rails-dom-testing
,
rubygem-haml-rails
,
rubygem-sprockets-rails
,
rubygem-rails-html-sanitizer
,
rubygem-rspec-rails
,
rubygem-coffee-rails",,,840MB,,,,,2018-09-21T18:02:18.875912Z,official,,linux,810,image,2019-04-01T08:06:15.35219Z,5.0.1,FALSE
odoo,Odoo (formerly known as OpenERP) is a suite of open-source business apps.,Application Services,https://hub.docker.com/_/odoo,5M+,debian:stretch,debian,"GNU LESSER GENERAL PUBLIC LICENSE, Version 3",,,,,,,1.16GB,,,,,2016-06-09T22:37:35.970784Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/b73cfa1a-20c0-45a8-98fc-9f5e8ddfb4cb-odoo.png,linux,629,image,2019-04-01T08:06:16.138438Z,12.0,FALSE
